ID,Year_Birth,Customer_age,Education,Marital_Status,Income,DependentHome,Dt_Customer,Customer_duration_days,Customer_Age_Enr,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,TotalPurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,TotalCampaignsAcc,Response,Complain,Country
2079,1947,77,2n Cycle,Married,81044.0,0,2013-12-27,3798,66,0,450,26,535,73,98,26,1208,1,5,6,10,21,1,0,0,0,0,0,0,0,0,USA
5642,1979,45,Master,Together,62499.0,1,2013-12-09,3816,34,0,140,4,61,0,13,4,222,2,3,1,6,10,4,0,0,0,0,0,0,0,0,ESP
10530,1959,65,PhD,Single,67786.0,0,2013-12-07,3818,54,0,431,82,441,80,20,102,1156,1,3,6,6,15,1,0,0,0,0,0,1,1,0,IND
2964,1981,43,Graduation,Married,26872.0,0,2013-10-16,3870,32,0,3,10,8,3,16,32,72,1,1,1,2,4,6,0,0,0,0,0,0,0,0,CAN
10311,1969,55,Graduation,Married,4428.0,1,2013-10-05,3881,44,0,16,4,12,2,4,321,359,0,25,0,0,25,1,0,0,0,0,0,0,0,0,ESP
837,1977,47,Graduation,Married,54809.0,2,2013-09-11,3905,36,0,63,6,57,13,13,22,174,4,2,1,5,8,4,0,0,0,0,0,0,0,0,ESP
10521,1977,47,Graduation,Married,54809.0,2,2013-09-11,3905,36,0,63,6,57,13,13,22,174,4,2,1,5,8,4,0,0,0,0,0,1,1,0,ESP
10175,1958,66,PhD,Single,32173.0,1,2013-08-01,3946,55,0,18,0,2,0,0,2,22,1,1,0,3,4,4,0,0,0,0,0,0,0,0,ESP
1473,1960,64,2n Cycle,Single,47823.0,1,2013-07-23,3955,53,0,53,1,5,2,1,10,72,2,2,0,3,5,8,0,0,0,0,0,0,0,0,CAN
2795,1958,66,Master,Single,30523.0,3,2013-07-01,3977,55,0,5,0,3,0,0,5,13,1,1,0,2,3,7,0,0,0,0,0,0,0,0,CAN
2285,1954,70,Master,Together,36634.0,1,2013-05-28,4011,59,0,213,9,76,4,3,30,335,3,5,2,5,12,7,0,0,0,0,0,0,0,0,ZAF
115,1966,58,Master,Single,43456.0,1,2013-03-26,4074,47,0,275,11,68,25,7,7,393,3,5,1,8,14,5,0,0,0,0,0,0,0,0,IND
10470,1979,45,Master,Married,40662.0,1,2013-03-15,4085,34,0,40,2,23,0,4,23,92,2,2,1,3,6,4,0,0,0,0,0,0,0,0,GER
4065,1976,48,PhD,Married,49544.0,1,2013-02-12,4116,37,0,308,0,73,0,0,23,404,2,5,1,8,14,7,0,0,0,0,0,0,0,0,ESP
10968,1969,55,Graduation,Single,57731.0,1,2012-11-23,4197,43,0,266,21,300,65,8,44,704,4,8,8,6,22,6,0,0,0,0,0,0,0,0,IND
5985,1965,59,Master,Single,33168.0,1,2012-10-13,4238,47,0,80,1,37,0,1,3,122,3,2,1,4,7,7,0,0,0,0,0,0,0,0,ESP
5430,1956,68,Graduation,Together,54450.0,2,2012-09-14,4267,56,0,454,0,171,8,19,32,684,12,9,2,8,19,8,0,0,0,0,0,0,0,0,ESP
8432,1956,68,Graduation,Together,54450.0,2,2012-09-14,4267,56,0,454,0,171,8,19,32,684,12,9,2,8,19,8,0,0,0,0,0,0,0,0,ESP
453,1956,68,PhD,Single,35340.0,2,2014-06-29,3614,58,1,27,0,12,0,1,5,45,2,2,0,3,5,5,0,0,0,0,0,0,0,0,ESP
9687,1975,49,Graduation,Single,73170.0,0,2014-05-31,3643,39,1,184,174,256,50,30,32,726,1,5,4,6,15,2,0,0,0,0,0,0,0,0,CAN
8890,1971,53,PhD,Single,65808.0,2,2014-05-30,3644,43,1,155,7,80,13,7,10,272,3,5,1,5,11,6,0,0,0,0,0,0,0,0,ESP
9264,1986,38,Graduation,Married,79529.0,0,2014-04-27,3677,28,1,423,42,706,73,197,197,1638,1,4,8,9,21,2,0,0,0,0,0,0,0,0,CAN
5824,1972,52,PhD,Together,34578.0,3,2014-04-11,3693,42,1,7,0,1,0,0,0,8,1,1,0,2,3,6,0,0,0,0,0,0,0,0,AUS
5794,1974,50,PhD,Married,46374.0,1,2014-03-17,3718,40,1,408,0,21,0,0,17,446,3,7,1,7,15,8,1,0,0,1,0,3,1,0,IND
3068,1990,34,Graduation,Married,18351.0,0,2013-10-29,3857,23,1,1,12,9,0,14,7,43,1,2,0,3,5,7,0,0,0,0,0,0,0,0,ESP
7962,1987,37,PhD,Single,95169.0,0,2013-10-09,3877,26,1,1285,21,449,106,20,20,1901,1,4,3,4,11,1,1,0,0,0,1,3,1,0,ESP
2681,1984,40,2n Cycle,Married,65370.0,0,2013-08-01,3946,29,1,71,22,112,138,89,29,461,1,2,3,13,18,1,0,0,0,0,0,0,0,0,ESP
10141,1960,64,Master,Single,39228.0,0,2013-05-10,4029,53,1,7,1,6,0,3,3,20,1,0,0,3,3,4,0,0,0,0,0,0,0,0,ZAF
3725,1961,63,PhD,Single,84865.0,0,2013-05-09,4030,52,1,1248,16,349,43,16,16,1688,1,2,4,9,15,4,1,1,0,1,1,5,1,0,ESP
3767,1968,56,Graduation,Married,61314.0,1,2013-04-25,4044,45,1,378,0,189,97,172,172,1008,2,5,5,12,22,3,0,0,0,0,0,0,0,0,ESP
5585,1972,52,Graduation,Single,21359.0,1,2013-04-20,4049,41,1,12,2,17,6,1,10,48,2,2,0,3,5,8,0,0,0,0,0,1,1,0,CAN
7030,1955,69,PhD,Married,66465.0,1,2013-03-30,4070,58,1,1200,0,204,38,29,14,1485,3,11,9,12,32,6,1,0,0,0,0,1,0,0,ESP
1524,1983,41,2n Cycle,Single,81698.0,0,2013-03-01,4099,30,1,709,45,115,30,160,45,1104,1,8,2,5,15,5,1,0,0,0,0,2,1,0,ESP
3657,1986,38,Graduation,Single,39146.0,1,2013-02-14,4114,27,1,94,1,33,13,12,12,165,3,4,0,4,8,8,0,0,0,0,0,0,0,0,ESP
5740,1970,54,2n Cycle,Single,25959.0,2,2013-02-14,4114,43,1,4,2,12,7,5,26,56,2,1,2,2,5,6,0,0,0,0,0,1,1,0,ESP
9595,1961,63,Graduation,Together,64260.0,0,2013-01-11,4148,52,1,539,169,816,20,0,30,1574,1,4,5,4,13,3,0,0,0,0,0,1,1,0,ESP
3158,1973,51,Graduation,Married,32300.0,1,2013-01-03,4156,40,1,13,3,6,6,5,6,39,1,1,0,3,4,8,0,0,0,0,0,0,0,0,ESP
5114,1965,59,Master,Married,74806.0,1,2012-12-19,4171,47,1,670,9,249,0,28,9,965,2,5,4,5,14,4,0,0,0,0,0,0,0,0,AUS
340,1970,54,Graduation,Single,72967.0,1,2012-12-15,4175,42,1,158,35,179,0,0,125,497,2,7,2,8,17,5,0,0,1,0,0,2,1,0,GER
8805,1960,64,Graduation,Single,48904.0,1,2012-12-02,4188,52,1,283,10,38,0,13,27,371,4,7,2,4,13,8,0,0,0,0,0,0,0,0,USA
1241,1984,40,2n Cycle,Married,14796.0,1,2012-09-17,4264,28,1,13,3,8,7,4,16,51,2,1,0,3,4,9,0,0,0,0,0,1,1,0,GER
1402,1954,70,Master,Married,66991.0,0,2012-09-11,4270,58,1,496,36,460,189,60,12,1253,3,4,8,6,18,3,0,0,0,0,0,0,0,0,GER
7264,1978,46,2n Cycle,Single,52195.0,3,2014-05-12,3662,36,2,12,0,4,0,0,1,17,1,1,0,2,3,8,0,0,0,0,0,0,0,0,ZAF
1619,1956,68,Graduation,Married,90369.0,0,2014-04-28,3676,58,2,292,51,981,224,23,17,1588,1,4,6,6,16,1,0,0,0,0,0,1,1,0,ESP
6398,1974,50,Basic,Married,18393.0,1,2014-03-29,3706,40,2,7,10,13,16,0,4,50,2,3,0,3,6,8,0,0,0,0,0,0,0,0,ESP
1857,1952,72,Graduation,Single,47139.0,2,2014-03-06,3729,62,2,46,0,12,0,2,23,83,2,2,1,2,5,7,0,0,0,0,0,1,1,0,ESP
4877,1973,51,Master,Married,38576.0,1,2014-03-04,3731,41,2,34,0,7,0,0,0,41,1,1,0,3,4,7,0,0,0,0,0,0,0,0,IND
3066,1975,49,PhD,Together,61905.0,1,2014-02-04,3759,39,2,167,0,43,6,2,13,231,2,4,2,4,10,5,0,0,0,0,0,0,0,0,ZAF
10286,1962,62,Graduation,Married,83715.0,0,2014-02-03,3760,52,2,318,8,407,150,35,8,926,1,2,8,13,23,0,0,0,0,0,0,0,0,0,ZAF
1992,1964,60,Graduation,Married,60597.0,1,2014-01-01,3793,50,2,522,0,257,32,16,66,893,4,2,2,8,12,7,1,0,0,0,0,2,1,0,ESP
4246,1982,42,Master,Single,6560.0,0,2013-12-12,3813,31,2,67,11,26,4,3,262,373,0,1,0,1,2,17,0,0,0,0,0,0,0,0,ESP
10623,1961,63,Master,Together,48330.0,1,2013-11-15,3840,52,2,28,0,4,0,0,0,32,1,1,0,3,4,5,0,0,0,0,0,0,0,0,ESP
4867,1968,56,PhD,Single,38236.0,2,2013-09-20,3896,45,2,58,0,18,2,0,10,88,4,3,0,4,7,7,0,0,0,0,0,0,0,0,ESP
3112,1977,47,Master,Married,22701.0,1,2013-09-05,3911,36,2,2,4,9,0,4,5,24,1,1,0,3,4,5,0,0,0,0,0,0,0,0,ESP
4865,1974,50,Master,Single,53367.0,2,2013-08-31,3916,39,2,229,7,140,10,3,11,400,7,5,1,8,14,7,0,0,0,0,0,1,1,0,AUS
6287,1986,38,Graduation,Together,34728.0,1,2013-07-30,3948,27,2,14,0,16,0,0,6,36,1,1,1,2,4,6,0,0,0,0,0,1,1,0,ESP
4405,1956,68,Master,Married,63915.0,2,2013-07-30,3948,57,2,622,7,115,30,0,15,789,2,6,3,12,21,5,0,0,0,0,0,0,0,0,AUS
5332,1960,64,2n Cycle,Married,82504.0,0,2013-07-27,3951,53,2,362,50,431,134,35,54,1066,1,3,6,7,16,1,0,0,0,0,0,0,0,0,IND
1519,1972,52,PhD,Single,38578.0,2,2013-06-22,3986,41,2,38,4,22,3,3,3,73,3,3,0,3,6,8,0,0,0,0,0,1,1,0,ESP
9080,1972,52,PhD,Single,38578.0,2,2013-06-22,3986,41,2,38,4,22,3,3,3,73,3,3,0,3,6,8,0,0,0,0,0,0,0,0,ESP
1772,1975,49,PhD,Married,79174.0,0,2013-01-11,4148,38,2,1074,37,518,193,92,129,2043,1,5,6,7,18,2,1,0,0,0,1,3,1,0,CAN
5341,1962,62,2n Cycle,Single,81975.0,1,2013-01-05,4154,51,2,983,76,184,180,138,27,1588,1,6,3,4,13,7,0,0,0,0,1,1,0,0,ZAF
5510,1977,47,Master,Married,43263.0,1,2012-11-21,4199,35,2,262,6,61,0,10,102,441,3,5,2,6,13,5,0,0,0,0,0,0,0,0,ESP
3887,1970,54,Graduation,Single,27242.0,1,2012-11-11,4209,42,2,3,17,26,20,1,39,106,2,2,0,3,5,9,0,0,0,0,0,1,1,0,IND
7022,1971,53,Graduation,Married,76445.0,1,2012-09-28,4253,41,2,739,107,309,140,80,35,1410,1,2,5,13,20,6,0,0,0,0,0,0,0,0,ZAF
9999,1965,59,Graduation,Together,75276.0,0,2012-09-27,4254,47,2,610,105,125,137,42,21,1040,1,9,4,9,22,5,0,0,0,0,0,0,0,0,ESP
10352,1963,61,Graduation,Single,34213.0,2,2012-09-07,4274,49,2,50,4,28,6,3,26,117,3,3,1,2,6,9,0,0,0,0,0,1,1,0,ZAF
7919,1976,48,PhD,Together,72335.0,0,2012-08-13,4299,36,2,1285,105,653,28,21,0,2092,1,10,4,8,22,8,0,0,0,0,0,1,1,0,ESP
4114,1964,60,Master,Married,79143.0,0,2012-08-11,4301,48,2,650,37,780,27,167,32,1693,1,6,9,13,28,3,0,0,0,0,0,0,0,0,AUS
7990,1947,77,Graduation,Married,27469.0,0,2012-08-02,4310,65,2,9,1,2,3,2,0,17,1,0,0,3,3,6,0,0,0,0,0,0,0,0,CAN
9888,1969,55,Graduation,Together,68695.0,0,2014-06-25,3618,45,3,458,81,356,106,50,40,1091,1,4,4,7,15,2,0,0,0,0,0,0,0,0,ESP
4399,1969,55,Graduation,Together,68695.0,0,2014-06-25,3618,45,3,458,81,356,106,50,40,1091,1,4,4,7,15,2,0,0,0,0,0,0,0,0,CAN
4452,1957,67,Graduation,Single,50388.0,1,2014-05-28,3646,57,3,292,6,37,0,3,34,372,4,6,1,6,13,7,1,0,0,1,0,3,1,0,GER
4785,1970,54,PhD,Together,77622.0,2,2014-04-14,3690,44,3,520,7,154,19,0,14,714,2,6,3,11,20,3,0,0,0,0,0,0,0,0,ZAF
8461,1962,62,Graduation,Single,46102.0,3,2014-03-10,3725,52,3,14,0,1,0,0,1,16,1,1,0,2,3,7,0,0,0,0,0,0,0,0,ESP
3878,1980,44,2n Cycle,Single,31859.0,1,2014-02-27,3736,34,3,3,4,7,15,8,11,48,1,1,0,3,4,7,0,0,0,0,0,0,0,0,ESP
9612,1987,37,2n Cycle,Single,23830.0,0,2014-02-07,3756,27,3,1,8,6,4,8,16,43,1,1,0,3,4,7,0,0,0,0,0,0,0,0,ESP
4098,1973,51,Graduation,Married,24639.0,2,2014-01-28,3766,41,3,20,3,16,0,4,1,44,3,2,0,4,6,6,0,0,0,0,0,0,0,0,AUS
158,1945,79,PhD,Together,71604.0,0,2013-11-17,3838,68,3,345,53,528,98,75,97,1196,1,8,3,5,16,4,0,0,1,0,0,2,1,0,ESP
3896,1984,40,Graduation,Married,27255.0,1,2013-11-07,3848,29,3,22,1,11,0,1,2,37,1,1,0,3,4,7,0,0,0,0,0,0,0,0,ESP
9970,1977,47,Graduation,Together,55375.0,1,2013-10-17,3869,36,3,42,11,57,10,28,14,162,1,1,1,6,8,2,0,0,0,0,0,0,0,0,CAN
4002,1960,64,PhD,Married,77037.0,1,2013-10-13,3873,53,3,463,96,333,168,53,10,1123,1,7,7,12,26,3,0,0,0,0,0,0,0,0,ESP
10914,1970,54,Graduation,Single,24163.0,2,2013-10-12,3874,43,3,4,1,7,2,1,2,17,2,1,0,3,4,4,0,0,0,0,0,0,0,0,ESP
7279,1969,55,PhD,Together,69476.0,0,2013-09-30,3886,44,3,260,86,559,63,9,67,1044,1,4,6,4,14,2,0,0,0,0,0,0,0,0,USA
10582,1979,45,Graduation,Married,72063.0,1,2013-07-03,3975,34,3,180,32,348,76,32,90,758,2,5,2,12,19,2,0,0,0,0,0,0,0,0,GER
4470,1962,62,Master,Married,58646.0,1,2013-06-10,3998,51,3,62,1,44,6,5,22,140,1,2,1,4,7,4,0,0,0,0,0,0,0,0,ESP
6183,1962,62,Master,Married,58646.0,1,2013-06-10,3998,51,3,62,1,44,6,5,22,140,1,2,1,4,7,4,0,0,0,0,0,0,0,0,GER
6379,1949,75,Master,Single,47570.0,2,2013-05-29,4010,64,3,67,1,20,0,2,31,121,3,2,2,2,6,7,0,0,0,0,0,1,1,0,USA
8601,1980,44,Graduation,Married,80011.0,1,2013-04-29,4040,33,3,421,76,536,82,178,102,1395,2,8,6,5,19,4,0,0,0,0,0,0,0,0,AUS
4827,1956,68,PhD,Single,54998.0,1,2013-03-10,4090,57,3,154,22,202,39,30,8,455,5,4,2,9,15,4,0,0,0,0,0,1,1,0,ESP
6715,1948,76,PhD,Single,60200.0,1,2013-01-02,4157,65,3,502,19,132,0,6,26,685,6,6,2,11,19,6,0,0,0,0,0,0,0,0,ESP
10676,1982,42,Graduation,Married,63211.0,0,2012-11-02,4218,30,3,145,193,459,205,26,145,1173,2,3,8,7,18,2,0,0,0,0,0,1,1,0,ESP
1041,1973,51,PhD,Single,48432.0,1,2012-10-18,4233,39,3,322,3,50,4,3,42,424,5,7,1,6,14,8,0,0,0,0,0,1,1,0,ZAF
492,1973,51,PhD,Single,48432.0,1,2012-10-18,4233,39,3,322,3,50,4,3,42,424,5,7,1,6,14,8,0,0,0,0,0,0,0,0,CAN
11133,1973,51,PhD,Single,48432.0,1,2012-10-18,4233,39,3,322,3,50,4,3,42,424,5,7,1,6,14,8,0,0,0,0,0,1,1,0,IND
4491,1949,75,Master,Married,62845.0,2,2012-10-01,4250,63,3,1099,0,45,0,0,34,1178,11,3,4,10,17,8,0,0,0,1,0,1,0,0,ESP
873,1949,75,Master,Married,62845.0,2,2012-10-01,4250,63,3,1099,0,45,0,0,34,1178,11,3,4,10,17,8,0,0,0,1,0,2,1,0,ESP
1631,1965,59,PhD,Together,65220.0,0,2012-09-03,4278,47,3,890,63,292,0,25,12,1282,4,8,4,7,19,6,0,0,0,0,0,1,1,0,GER
8278,1990,34,PhD,Married,74214.0,0,2012-08-26,4286,22,3,863,83,547,86,99,33,1711,1,8,2,5,15,5,0,0,0,0,0,0,0,0,ESP
6815,1980,44,2n Cycle,Married,96547.0,0,2014-05-23,3651,34,4,448,21,125,52,101,62,809,0,7,6,8,21,2,1,0,1,0,1,4,1,0,ESP
254,1955,69,Graduation,Together,53863.0,1,2014-05-17,3657,59,4,399,4,30,6,4,30,473,3,7,1,7,15,7,0,0,0,1,0,1,0,0,ESP
1349,1970,54,Graduation,Married,50447.0,2,2014-04-21,3683,44,4,85,7,24,2,3,27,148,1,3,1,3,7,6,0,0,0,0,0,0,0,0,IND
2534,1953,71,Graduation,Married,37716.0,1,2014-04-21,3683,61,4,97,1,41,6,2,41,188,2,4,1,3,8,7,0,0,0,0,0,0,0,0,AUS
2130,1982,42,Graduation,Together,45203.0,2,2014-03-23,3712,32,4,35,3,67,10,8,24,147,1,3,1,3,7,6,0,0,0,0,0,1,1,0,ZAF
2296,1975,49,Master,Married,37368.0,1,2013-12-16,3809,38,4,3,2,11,2,2,10,30,1,1,0,2,3,6,0,0,1,0,0,1,0,0,ESP
3799,1955,69,Graduation,Married,67225.0,1,2013-11-26,3829,58,4,315,35,322,46,7,143,868,3,7,2,11,20,5,0,0,0,0,0,0,0,0,USA
11084,1976,48,Master,Together,65104.0,1,2013-11-14,3841,37,4,738,0,232,13,20,50,1053,2,3,5,7,15,7,0,0,0,0,0,1,1,0,CAN
5172,1976,48,Master,Together,65104.0,1,2013-11-14,3841,37,4,738,0,232,13,20,50,1053,2,3,5,7,15,7,0,0,0,0,0,0,0,0,ESP
9504,1949,75,Master,Married,81698.0,0,2013-11-06,3849,64,4,179,28,520,111,123,47,1008,1,3,8,13,24,1,0,0,0,0,0,1,1,0,ESP
850,1968,56,Graduation,Single,70566.0,1,2013-10-06,3880,45,4,381,28,215,84,28,21,757,2,6,5,9,20,3,0,0,0,0,0,0,0,0,ESP
4477,1958,66,Graduation,Together,69096.0,1,2013-09-27,3889,55,4,247,49,159,7,82,109,653,1,5,2,10,17,4,0,0,0,0,0,0,0,0,GER
1945,1962,62,Graduation,Married,71434.0,1,2013-09-18,3898,51,4,711,36,217,172,96,168,1400,3,7,4,7,18,4,1,0,0,1,0,2,0,0,ESP
7685,1978,46,Graduation,Married,33039.0,1,2013-09-09,3907,35,4,30,8,12,8,8,12,78,1,2,0,4,6,5,0,0,0,0,0,0,0,0,ESP
6310,1978,46,Graduation,Married,33039.0,1,2013-09-09,3907,35,4,30,8,12,8,8,12,78,1,2,0,4,6,5,0,0,0,0,0,0,0,0,CAN
10832,1958,66,Graduation,Together,46610.0,0,2013-07-18,3960,55,4,288,10,30,4,10,125,467,1,6,1,6,13,6,0,0,0,0,0,0,0,0,ESP
3025,1958,66,Graduation,Single,49967.0,1,2013-07-08,3970,55,4,212,6,69,4,12,3,306,3,6,1,5,12,7,0,0,0,0,0,0,0,0,CAN
2404,1976,48,Graduation,Married,53359.0,2,2013-05-27,4012,37,4,173,4,30,3,6,41,257,4,5,1,4,10,7,0,0,0,0,0,0,0,0,USA
8581,1971,53,Master,Married,49505.0,2,2013-03-05,4095,42,4,604,0,100,19,0,28,751,9,10,2,8,20,8,0,0,0,0,0,0,0,0,ESP
8755,1946,78,Master,Married,68657.0,0,2013-02-20,4108,67,4,482,34,471,119,68,22,1196,1,3,5,9,17,7,0,0,0,0,0,0,0,0,AUS
10177,1954,70,Graduation,Single,72071.0,1,2013-02-14,4114,59,4,531,69,300,150,138,150,1338,3,5,4,8,17,2,0,0,0,0,0,0,0,0,ESP
2429,1954,70,Graduation,Single,72071.0,1,2013-02-14,4114,59,4,531,69,300,150,138,150,1338,3,5,4,8,17,2,0,0,0,0,0,0,0,0,CAN
8920,1967,57,Master,Single,59235.0,1,2013-01-12,4147,46,4,448,40,469,80,0,91,1128,3,11,2,12,25,7,0,0,0,0,0,0,0,0,IND
8430,1957,67,Graduation,Together,21994.0,1,2012-12-24,4166,55,4,9,0,6,3,1,3,22,1,0,0,3,3,5,0,0,0,0,0,0,0,0,AUS
8619,1957,67,Graduation,Together,21994.0,1,2012-12-24,4166,55,4,9,0,6,3,1,3,22,1,0,0,3,3,5,0,0,0,0,0,0,0,0,ESP
7233,1972,52,Graduation,Married,69209.0,0,2012-09-17,4264,40,4,496,32,849,229,48,128,1782,2,5,3,6,14,4,1,0,0,0,0,1,0,0,CAN
6678,1989,35,Graduation,Together,31928.0,1,2014-03-28,3707,25,5,33,4,24,4,2,5,72,2,3,0,4,7,7,0,0,0,0,0,0,0,0,IND
830,1987,37,PhD,Single,74004.0,0,2014-02-24,3739,27,5,784,48,560,42,176,48,1658,1,4,6,4,14,3,1,0,0,0,1,3,1,0,IND
6365,1987,37,2n Cycle,Married,30390.0,0,2013-09-02,3914,26,5,10,12,12,25,1,20,80,1,2,0,3,5,6,0,0,0,0,0,0,0,0,IND
6770,1985,39,Graduation,Married,21355.0,1,2013-08-20,3927,28,5,5,13,14,0,5,31,68,2,2,1,2,5,6,0,0,1,0,0,2,1,0,USA
2261,1969,55,Graduation,Married,26304.0,1,2013-06-23,3985,44,5,4,1,5,2,0,4,16,1,1,0,2,3,7,0,0,0,0,0,0,0,0,GER
1031,1989,35,2n Cycle,Married,85710.0,0,2013-05-05,4034,24,5,600,20,350,29,30,33,1062,1,6,9,10,25,2,0,0,0,0,1,1,0,0,IND
10089,1974,50,Graduation,Single,102692.0,0,2013-04-05,4064,39,5,168,148,444,32,172,148,1112,1,6,9,13,28,2,1,1,0,1,1,5,1,0,ZAF
9256,1971,53,Graduation,Single,58350.0,1,2013-01-04,4155,42,5,493,26,206,116,80,80,1001,4,8,3,12,23,6,0,0,0,0,0,0,0,0,ESP
10641,1978,46,Graduation,Single,7500.0,2,2012-12-27,4163,34,5,6,5,4,13,4,25,57,4,2,1,3,6,6,0,0,0,0,0,0,0,0,ESP
624,1984,40,Master,Single,18890.0,0,2012-11-10,4210,28,5,6,4,1,7,2,15,35,1,0,1,2,3,6,0,0,1,0,0,2,1,0,ZAF
4211,1986,38,Basic,Married,20425.0,1,2012-10-29,4222,26,5,4,12,5,3,16,17,57,2,2,0,3,5,7,0,0,0,0,0,0,0,0,CAN
1407,1986,38,Basic,Married,20425.0,1,2012-10-29,4222,26,5,4,12,5,3,16,17,57,2,2,0,3,5,7,0,0,0,0,0,0,0,0,GER
10356,1957,67,PhD,Single,41437.0,2,2012-09-22,4259,55,5,29,0,2,0,0,1,32,1,1,0,3,4,7,0,0,0,0,0,0,0,0,ESP
9323,1949,75,Master,Together,49912.0,1,2012-09-07,4274,63,5,520,8,223,32,49,42,874,4,10,5,7,22,8,0,0,1,0,0,2,1,0,MEX
1146,1949,75,Master,Together,49912.0,1,2012-09-07,4274,63,5,520,8,223,32,49,42,874,4,10,5,7,22,8,0,0,1,0,0,2,1,0,AUS
6343,1959,65,Graduation,Married,79823.0,1,2014-03-31,3704,55,6,835,73,380,114,73,43,1518,1,6,9,7,22,2,0,0,0,1,0,1,0,0,AUS
8545,1954,70,Graduation,Single,85683.0,0,2014-03-21,3714,60,6,1296,17,311,45,69,51,1789,1,2,4,10,16,1,1,1,0,1,1,5,1,0,ESP
8275,1965,59,PhD,Single,47025.0,2,2014-02-09,3754,49,6,16,0,3,0,0,1,20,1,1,0,2,3,7,0,0,0,0,0,0,0,0,ESP
10673,1976,48,PhD,Married,68397.0,1,2013-11-17,3838,37,6,760,80,466,17,13,80,1416,1,6,9,5,20,3,0,0,0,0,0,0,0,0,ZAF
8799,1984,40,PhD,Married,38175.0,1,2013-09-23,3893,29,6,70,6,69,2,3,3,153,3,3,1,4,8,7,0,0,0,0,0,0,0,0,ESP
67,1972,52,Master,Single,46423.0,2,2013-09-18,3898,41,6,68,0,16,0,0,8,92,3,2,0,4,6,7,0,0,0,0,0,0,0,0,ESP
9923,1972,52,Master,Single,46423.0,2,2013-09-18,3898,41,6,68,0,16,0,0,8,92,3,2,0,4,6,7,0,0,0,0,0,0,0,0,ESP
2814,1976,48,Master,Together,30560.0,1,2013-06-27,3981,37,6,9,1,5,4,5,7,31,1,1,0,3,4,7,0,0,0,0,0,0,0,0,ZAF
2711,1976,48,Master,Together,30560.0,1,2013-06-27,3981,37,6,9,1,5,4,5,7,31,1,1,0,3,4,7,0,0,0,0,0,0,0,0,CAN
4320,1979,45,Graduation,Single,60152.0,1,2013-03-28,4072,34,6,325,83,300,86,58,91,943,1,6,4,12,22,3,0,0,0,0,0,0,0,0,ESP
10451,1965,59,Graduation,Together,29672.0,2,2013-03-12,4088,48,6,9,1,3,0,4,8,25,1,0,0,3,3,6,0,0,0,0,0,0,0,0,ZAF
4198,1965,59,Graduation,Together,29672.0,2,2013-03-12,4088,48,6,9,1,3,0,4,8,25,1,0,0,3,3,6,0,0,0,0,0,0,0,0,ESP
10814,1947,77,Graduation,Together,70321.0,0,2013-01-16,4143,66,6,303,23,751,82,26,191,1376,1,6,5,13,24,4,0,0,0,0,0,1,1,0,ESP
